Data,Temperatura,FLAG,Error
01/01/1982 09:00,10,,
01/02/1982 09:00,9.4,(vd),
01/03/1982 09:00,11.1,,
01/04/1982 09:00,14.5,(vd),
01/05/1982 09:00,15.2,(vd),
01/06/1982 09:00,17.2,,
01/07/1982 09:00,18.9,,
01/08/1982 09:00,20.4,,
01/09/1982 09:00,19.4,,
01/10/1982 09:00,14.1,,
01/11/1982 09:00,11.4,,
01/12/1982 09:00,9.5,,
01/01/1983 09:00,8.1,,
01/02/1983 09:00,6.9,,
01/03/1983 09:00,12.9,,
01/04/1983 09:00,11.9,,
01/05/1983 09:00,13.5,,
01/06/1983 09:00,19.9,,
01/07/1983 09:00,19.7,,
01/08/1983 09:00,20.6,,
01/09/1983 09:00,19.4,,
01/10/1983 09:00,15.8,,
01/11/1983 09:00,14.7,,
01/12/1983 09:00,9.9,,
01/01/1984 09:00,8.7,,
01/02/1984 09:00,8.8,,
01/03/1984 09:00,9.5,,
01/04/1984 09:00,16,,
01/05/1984 09:00,12.7,,
01/06/1984 09:00,19.1,,
01/07/1984 09:00,19.5,,
01/08/1984 09:00,20.1,,
01/09/1984 09:00,18.2,(vc/),
01/10/1984 09:00,15.1,,
01/11/1984 09:00,11.7,,
01/12/1984 09:00,10.3,,
01/01/1985 09:00,7.5,,
01/02/1985 09:00,11.7,,
01/03/1985 09:00,10.4,,
01/04/1985 09:00,13.6,,
01/05/1985 09:00,14.9,,
01/06/1985 09:00,18.1,,
01/07/1985 09:00,20.1,,
01/08/1985 09:00,18.5,,
01/09/1985 09:00,21.8,(vi/VG),
01/10/1985 09:00,16.4,,
01/11/1985 09:00,11,,
01/12/1985 09:00,9.9,,
01/01/1986 09:00,7.9,,
01/02/1986 09:00,9.2,,
01/03/1986 09:00,10.5,,
01/04/1986 09:00,10.3,,
01/05/1986 09:00,15.5,,
01/06/1986 09:00,18.7,,
01/07/1986 09:00,20.7,,
01/08/1986 09:00,18.5,,
01/09/1986 09:00,19.7,,
01/10/1986 09:00,17.1,,
01/11/1986 09:00,11.3,,
01/12/1986 09:00,9.4,,
01/01/1987 09:00,8.9,,
01/02/1987 09:00,9.6,,
01/03/1987 09:00,12.5,,
01/04/1987 09:00,14.5,,
01/05/1987 09:00,16.7,,
01/06/1987 09:00,18.3,,
01/07/1987 09:00,21.7,,
01/08/1987 09:00,21.8,,
01/09/1987 09:00,21.1,,
01/10/1987 09:00,14.9,,
01/11/1987 09:00,12.6,,
01/12/1987 09:00,12,,
01/01/1988 09:00,10.4,,
01/02/1988 09:00,10.3,,
01/03/1988 09:00,11.5,,
01/04/1988 09:00,13,,
01/05/1988 09:00,15.1,,
01/06/1988 09:00,19,,
01/07/1988 09:00,19.5,,
01/08/1988 09:00,19.7,,
01/09/1988 09:00,19.4,,
01/10/1988 09:00,15.9,,
01/11/1988 09:00,14.1,,
01/12/1988 09:00,8.9,,
01/01/1989 09:00,8.2,,
01/02/1989 09:00,10.2,,
01/03/1989 09:00,12.6,,
01/04/1989 09:00,11.9,,
01/05/1989 09:00,17,,
01/06/1989 09:00,19.7,,
01/07/1989 09:00,22.9,,
01/08/1989 09:00,21.6,,
01/09/1989 09:00,19.1,,
01/10/1989 09:00,18.9,,
01/11/1989 09:00,13.6,,
01/12/1989 09:00,13.3,,
01/01/1990 09:00,8.9,,
01/02/1990 09:00,12.2,,
01/03/1990 09:00,13.4,,
01/04/1990 09:00,13,,
01/05/1990 09:00,17,,
01/06/1990 09:00,17.7,,
01/07/1990 09:00,21.8,,
01/08/1990 09:00,20.9,,
01/09/1990 09:00,19.7,,
01/10/1990 09:00,14.6,,
01/11/1990 09:00,10.7,,
01/12/1990 09:00,8.8,,
01/01/1991 09:00,8.5,(vc/),
01/02/1991 09:00,8.4,(vc/),
01/03/1991 09:00,11.3,(vc/),
01/04/1991 09:00,12.2,(vc/),
01/05/1991 09:00,16.7,(vc/),
01/06/1991 09:00,18.4,(vc/),
01/07/1991 09:00,20.9,(vc/),
01/08/1991 09:00,21.4,(vc/),
01/09/1991 09:00,19.6,(vc/),
01/10/1991 09:00,14.3,,
01/11/1991 09:00,11.5,,
01/12/1991 09:00,10,,
01/01/1992 09:00,7.2,,
01/02/1992 09:00,9.8,,
